PASSENGERS,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME
0,Air Transport International,10821,BWI,"Baltimore, MD",10135,ABE,"Allentown/Bethlehem/Easton, PA"
0,Air Transport International,10821,BWI,"Baltimore, MD",11193,CVG,"Cincinnati, OH"
0,Air Transport International,10821,BWI,"Baltimore, MD",12266,IAH,"Houston, TX"
0,Air Transport International,10821,BWI,"Baltimore, MD",12324,ILN,"Wilmington, OH"
0,Air Transport International,10821,BWI,"Baltimore, MD",12882,LAL,"Lakeland, FL"
0,Air Transport International,10821,BWI,"Baltimore, MD",13303,MIA,"Miami, FL"
0,Air Transport International,10821,BWI,"Baltimore, MD",14057,PDX,"Portland, OR"
0,Air Transport International,10821,BWI,"Baltimore, MD",14691,SBD,"San Bernardino, CA"
0,Air Transport International,11057,CLT,"Charlotte, NC",10821,BWI,"Baltimore, MD"
0,Air Transport International,11057,CLT,"Charlotte, NC",11193,CVG,"Cincinnati, OH"
0,Air Transport International,11057,CLT,"Charlotte, NC",12324,ILN,"Wilmington, OH"
0,Air Transport International,11057,CLT,"Charlotte, NC",14691,SBD,"San Bernardino, CA"
0,Air Transport International,11193,CVG,"Cincinnati, OH",10135,ABE,"Allentown/Bethlehem/Easton, PA"
0,Air Transport International,11193,CVG,"Cincinnati, OH",10397,ATL,"Atlanta, GA"
0,Air Transport International,11193,CVG,"Cincinnati, OH",10423,AUS,"Austin, TX"
0,Air Transport International,11193,CVG,"Cincinnati, OH",10529,BDL,"Hartford, CT"
0,Air Transport International,11193,CVG,"Cincinnati, OH",10821,BWI,"Baltimore, MD"
0,Air Transport International,11193,CVG,"Cincinnati, OH",11292,DEN,"Denver, CO"
0,Air Transport International,11193,CVG,"Cincinnati, OH",12266,IAH,"Houston, TX"
0,Air Transport International,11193,CVG,"Cincinnati, OH",12478,JFK,"New York, NY"
0,Air Transport International,11193,CVG,"Cincinnati, OH",13198,MCI,"Kansas City, MO"
0,Air Transport International,11193,CVG,"Cincinnati, OH",13495,MSY,"New Orleans, LA"
0,Air Transport International,11193,CVG,"Cincinnati, OH",13891,ONT,"Ontario, CA"
0,Air Transport International,11193,CVG,"Cincinnati, OH",13930,ORD,"Chicago, IL"
0,Air Transport International,11193,CVG,"Cincinnati, OH",14057,PDX,"Portland, OR"
0,Air Transport International,11193,CVG,"Cincinnati, OH",14524,RIC,"Richmond, VA"
0,Air Transport International,11193,CVG,"Cincinnati, OH",14691,SBD,"San Bernardino, CA"
0,Air Transport International,11193,CVG,"Cincinnati, OH",14747,SEA,"Seattle, WA"
0,Air Transport International,11292,DEN,"Denver, CO",10821,BWI,"Baltimore, MD"
0,Air Transport International,11292,DEN,"Denver, CO",12324,ILN,"Wilmington, OH"
0,Air Transport International,11292,DEN,"Denver, CO",14512,RFD,"Rockford, IL"
0,Air Transport International,11292,DEN,"Denver, CO",14747,SEA,"Seattle, WA"
0,Air Transport International,11884,GEG,"Spokane, WA",14691,SBD,"San Bernardino, CA"
0,Air Transport International,12173,HNL,"Honolulu, HI",12982,LIH,"Lihue, HI"
0,Air Transport International,12173,HNL,"Honolulu, HI",13891,ONT,"Ontario, CA"
0,Air Transport International,12173,HNL,"Honolulu, HI",14691,SBD,"San Bernardino, CA"
0,Air Transport International,12266,IAH,"Houston, TX",10821,BWI,"Baltimore, MD"
0,Air Transport International,12266,IAH,"Houston, TX",11193,CVG,"Cincinnati, OH"
0,Air Transport International,12266,IAH,"Houston, TX",12324,ILN,"Wilmington, OH"
0,Air Transport International,12266,IAH,"Houston, TX",14512,RFD,"Rockford, IL"
0,Air Transport International,12266,IAH,"Houston, TX",14533,RIV,"Riverside, CA"
0,Air Transport International,12324,ILN,"Wilmington, OH",10397,ATL,"Atlanta, GA"
0,Air Transport International,12324,ILN,"Wilmington, OH",10423,AUS,"Austin, TX"
0,Air Transport International,12324,ILN,"Wilmington, OH",11057,CLT,"Charlotte, NC"
0,Air Transport International,12324,ILN,"Wilmington, OH",11292,DEN,"Denver, CO"
0,Air Transport International,12324,ILN,"Wilmington, OH",12266,IAH,"Houston, TX"
0,Air Transport International,12324,ILN,"Wilmington, OH",12882,LAL,"Lakeland, FL"
0,Air Transport International,12324,ILN,"Wilmington, OH",12892,LAX,"Los Angeles, CA"
0,Air Transport International,12324,ILN,"Wilmington, OH",14107,PHX,"Phoenix, AZ"
0,Air Transport International,12324,ILN,"Wilmington, OH",14730,SDF,"Louisville, KY"
0,Air Transport International,12324,ILN,"Wilmington, OH",14747,SEA,"Seattle, WA"
0,Air Transport International,12324,ILN,"Wilmington, OH",14771,SFO,"San Francisco, CA"
0,Air Transport International,12478,JFK,"New York, NY",10194,AFW,"Dallas/Fort Worth, TX"
0,Air Transport International,12478,JFK,"New York, NY",11193,CVG,"Cincinnati, OH"
0,Air Transport International,12478,JFK,"New York, NY",14512,RFD,"Rockford, IL"
0,Air Transport International,12882,LAL,"Lakeland, FL",10194,AFW,"Dallas/Fort Worth, TX"
0,Air Transport International,12882,LAL,"Lakeland, FL",10423,AUS,"Austin, TX"
0,Air Transport International,12882,LAL,"Lakeland, FL",11193,CVG,"Cincinnati, OH"
0,Air Transport International,12882,LAL,"Lakeland, FL",11292,DEN,"Denver, CO"
0,Air Transport International,12882,LAL,"Lakeland, FL",12324,ILN,"Wilmington, OH"
0,Air Transport International,12882,LAL,"Lakeland, FL",14512,RFD,"Rockford, IL"
0,Air Transport International,12882,LAL,"Lakeland, FL",14691,SBD,"San Bernardino, CA"
0,Air Transport International,12882,LAL,"Lakeland, FL",15295,TOL,"Toledo, OH"
0,Air Transport International,12892,LAX,"Los Angeles, CA",14057,PDX,"Portland, OR"
0,Air Transport International,12892,LAX,"Los Angeles, CA",14512,RFD,"Rockford, IL"
0,Air Transport International,12892,LAX,"Los Angeles, CA",14747,SEA,"Seattle, WA"
0,Air Transport International,12982,LIH,"Lihue, HI",13891,ONT,"Ontario, CA"
0,Air Transport International,12982,LIH,"Lihue, HI",14691,SBD,"San Bernardino, CA"
0,Air Transport International,13198,MCI,"Kansas City, MO",11193,CVG,"Cincinnati, OH"
0,Air Transport International,13198,MCI,"Kansas City, MO",12882,LAL,"Lakeland, FL"
0,Air Transport International,13296,MHT,"Manchester, NH",10194,AFW,"Dallas/Fort Worth, TX"
0,Air Transport International,13303,MIA,"Miami, FL",10821,BWI,"Baltimore, MD"
0,Air Transport International,13487,MSP,"Minneapolis, MN",14691,SBD,"San Bernardino, CA"
0,Air Transport International,13495,MSY,"New Orleans, LA",11193,CVG,"Cincinnati, OH"
0,Air Transport International,13891,ONT,"Ontario, CA",10194,AFW,"Dallas/Fort Worth, TX"
0,Air Transport International,13891,ONT,"Ontario, CA",12324,ILN,"Wilmington, OH"
0,Air Transport International,13891,ONT,"Ontario, CA",12882,LAL,"Lakeland, FL"
0,Air Transport International,13891,ONT,"Ontario, CA",14771,SFO,"San Francisco, CA"
0,Air Transport International,13930,ORD,"Chicago, IL",11193,CVG,"Cincinnati, OH"
0,Air Transport International,13930,ORD,"Chicago, IL",13303,MIA,"Miami, FL"
0,Air Transport International,14057,PDX,"Portland, OR",10194,AFW,"Dallas/Fort Worth, TX"
0,Air Transport International,14057,PDX,"Portland, OR",10299,ANC,"Anchorage, AK"
0,Air Transport International,14057,PDX,"Portland, OR",11193,CVG,"Cincinnati, OH"
0,Air Transport International,14057,PDX,"Portland, OR",14512,RFD,"Rockford, IL"
0,Air Transport International,14057,PDX,"Portland, OR",14747,SEA,"Seattle, WA"
0,Air Transport International,14107,PHX,"Phoenix, AZ",10821,BWI,"Baltimore, MD"
0,Air Transport International,14107,PHX,"Phoenix, AZ",11193,CVG,"Cincinnati, OH"
0,Air Transport International,14107,PHX,"Phoenix, AZ",12324,ILN,"Wilmington, OH"
0,Air Transport International,14107,PHX,"Phoenix, AZ",14730,SDF,"Louisville, KY"
0,Air Transport International,14512,RFD,"Rockford, IL",10135,ABE,"Allentown/Bethlehem/Easton, PA"
0,Air Transport International,14512,RFD,"Rockford, IL",10194,AFW,"Dallas/Fort Worth, TX"
0,Air Transport International,14512,RFD,"Rockford, IL",12266,IAH,"Houston, TX"
0,Air Transport International,14512,RFD,"Rockford, IL",12882,LAL,"Lakeland, FL"
0,Air Transport International,14512,RFD,"Rockford, IL",13891,ONT,"Ontario, CA"
0,Air Transport International,14512,RFD,"Rockford, IL",14107,PHX,"Phoenix, AZ"
0,Air Transport International,14512,RFD,"Rockford, IL",14747,SEA,"Seattle, WA"
0,Air Transport International,14512,RFD,"Rockford, IL",14893,SMF,"Sacramento, CA"
0,Air Transport International,14524,RIC,"Richmond, VA",12324,ILN,"Wilmington, OH"
0,Air Transport International,14533,RIV,"Riverside, CA",10693,BNA,"Nashville, TN"
0,Air Transport International,14533,RIV,"Riverside, CA",12266,IAH,"Houston, TX"
0,Air Transport International,14691,SBD,"San Bernardino, CA",10135,ABE,"Allentown/Bethlehem/Easton, PA"
0,Air Transport International,14691,SBD,"San Bernardino, CA",10423,AUS,"Austin, TX"
0,Air Transport International,14691,SBD,"San Bernardino, CA",11057,CLT,"Charlotte, NC"
0,Air Transport International,14691,SBD,"San Bernardino, CA",11292,DEN,"Denver, CO"
0,Air Transport International,14691,SBD,"San Bernardino, CA",12173,HNL,"Honolulu, HI"
0,Air Transport International,14691,SBD,"San Bernardino, CA",12478,JFK,"New York, NY"
0,Air Transport International,14691,SBD,"San Bernardino, CA",13487,MSP,"Minneapolis, MN"
0,Air Transport International,14691,SBD,"San Bernardino, CA",14747,SEA,"Seattle, WA"
0,Air Transport International,14730,SDF,"Louisville, KY",10423,AUS,"Austin, TX"
0,Air Transport International,14730,SDF,"Louisville, KY",14107,PHX,"Phoenix, AZ"
0,Air Transport International,14747,SEA,"Seattle, WA",10194,AFW,"Dallas/Fort Worth, TX"
0,Air Transport International,14747,SEA,"Seattle, WA",11193,CVG,"Cincinnati, OH"
0,Air Transport International,14747,SEA,"Seattle, WA",12324,ILN,"Wilmington, OH"
0,Air Transport International,14747,SEA,"Seattle, WA",12892,LAX,"Los Angeles, CA"
0,Air Transport International,14747,SEA,"Seattle, WA",14107,PHX,"Phoenix, AZ"
0,Air Transport International,14747,SEA,"Seattle, WA",14512,RFD,"Rockford, IL"
0,Air Transport International,14747,SEA,"Seattle, WA",14691,SBD,"San Bernardino, CA"
0,Air Transport International,14771,SFO,"San Francisco, CA",10194,AFW,"Dallas/Fort Worth, TX"
0,Air Transport International,14771,SFO,"San Francisco, CA",10821,BWI,"Baltimore, MD"
0,Air Transport International,14771,SFO,"San Francisco, CA",11193,CVG,"Cincinnati, OH"
0,Air Transport International,14893,SMF,"Sacramento, CA",11193,CVG,"Cincinnati, OH"
0,Air Transport International,15295,TOL,"Toledo, OH",10194,AFW,"Dallas/Fort Worth, TX"
0,Air Transport International,15295,TOL,"Toledo, OH",12882,LAL,"Lakeland, FL"
0,Alaska Airlines Inc.,10170,ADQ,"Kodiak, AK",10299,ANC,"Anchorage, AK"
0,Alaska Airlines Inc.,10170,ADQ,"Kodiak, AK",11336,DLG,"Dillingham, AK"
0,Alaska Airlines Inc.,10245,AKN,"King Salmon, AK",10299,ANC,"Anchorage, AK"
0,Alaska Airlines Inc.,10245,AKN,"King Salmon, AK",11336,DLG,"Dillingham, AK"
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",10170,ADQ,"Kodiak, AK"
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",10245,AKN,"King Salmon, AK"
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",10551,BET,"Bethel, AK"
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",10754,BRW,"Barrow, AK"
